Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S08__k141_2200732	0.13944224	0.27888447	0.4183267	0.9213147	0	0.27888447	0.13944224
KW1-S15__k141_6398489	0.65819377	2.306519	1.9829545	2.1348684	2.1241028	3.3516746	2.4069977
KW1-S21__k141_10630272	10.0400715	12.344581	16.852741	17.13617	13.387424	19.896788	18.510096
KW1-S15__k141_6035919	0.22070415	0.660536	0.43983185	0.3504992	0.7666842	3.146085	0.2942722
KW1-S11__k141_6376977	0	0	0	0	3.5344489	0	0
KW1-S08__k141_4849336	0.88827586	1.3131034	1.235862	3.8030345	2.0871725	2.5834482	2.447724
KW1-S15__k141_1073990	1.4797943	0.8493755	1.3798678	1.9544452	1.131521	4.349008	2.370316
KW1-S15__k141_4344295	1.5620512	2.6076603	2.048633	2.8441477	2.6859014	5.066776	4.9892907
KW1-S05__k141_8576167	0.115913555	0.3821218	1.1385069	0.12770137	2.0609038	1.6060904	0.8005894
KW1-S05__k141_1569462	19.472958	19.872267	28.596088	16.890678	5.5592637	12.542003	16.1519
KW1-S05__k141_108604	2.2415006	0.73329425	2.5134819	1.0504103	1.1178194	1.2286049	1.0762017
KW1-S15__k141_4636944	1.8565692	1.6643717	1.1296616	3.3189902	3.6913369	4.6127367	2.977625
KW1-S11__k141_7067632	0	0.26845637	0.40268457	0.13422818	1.746884	1.1677853	0.53691274
KW1-S15__k141_9799538	0.7423118	1.0254507	0.7041357	1.176034	0.7423118	2.0222692	0.54612935
KW1-S05__k141_3151166	6.288235	8.886274	8.642157	12.983334	8.306863	9.969608	11.427451
KW1-S08__k141_1800919	4.489154	7.5542297	6.74295	9.378525	4.7527113	10.952277	9.227766
KW1-S15__k141_489301	1.1415205	0.50877196	1.3	1.454386	0.86959064	2.1561403	1.0491228
KW1-S08__k141_11117888	0	0.05724299	0.3271028	1.088785	0.03621495	0.5338785	0.0817757
KW1-S08__k141_11016947	2.3975534	0.81223243	2.4574924	3.5669725	0.7003058	2.6079512	1.0831804
KW1-S11__k141_807504	0.79676676	2.4191685	2.8071594	4.3648963	6.743649	5.2806005	2.5773673
