phylum,variable,value
Proteobacteria,dsrEFH/dsrL,1
Proteobacteria,nxrAB,1
Desulfobacterota_B,nxrAB,1
Nitrospirota,nxrAB,1
Thermoproteota,URE,1
Proteobacteria,URE,1
Proteobacteria,URE,1
Proteobacteria,URE,1
Thermoproteota,URE,1
Proteobacteria,URE,1
Proteobacteria,URE,1
Latescibacterota,URE,1
Proteobacteria,URE,1
Proteobacteria,URE,1
Verrucomicrobiota,URE,1
Proteobacteria,URE,1
Poribacteria,URE,1
Tectomicrobia,URE,1
Desulfobacterota_D,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Actinobacteriota,cysJI,1
Nitrospinota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
SAR324,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Gemmatimonadota,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Desulfobacterota_D,cysJI,1
SAR324,cysJI,1
Bacteroidota,cysJI,1
Planctomycetota,cysJI,1
Thermoproteota,cysJI,1
Planctomycetota,cysJI,1
Chloroflexota,cysJI,1
Desulfobacterota_D,cysJI,1
Proteobacteria,cysJI,1
Acidobacteriota,cysJI,1
Gemmatimonadota,cysJI,1
Proteobacteria,cysJI,1
Myxococcota_A,cysJI,1
Planctomycetota,cysJI,1
Bacteroidota,cysJI,1
Acidobacteriota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Desulfobacterota_D,cysJI,1
Nitrospirota,cysJI,1
Proteobacteria,cysJI,1
Actinobacteriota,cysJI,1
Proteobacteria,cysJI,1
Planctomycetota,cysJI,1
Actinobacteriota,cysJI,1
Desulfobacterota_D,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Desulfobacterota_B,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Gemmatimonadota,cysJI,1
Gemmatimonadota,cysJI,1
Bacteroidota,cysJI,1
Planctomycetota,cysJI,1
Chloroflexota,cysJI,1
SAR324,cysJI,1
Nitrospirota,cysJI,1
Desulfobacterota_D,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Methylomirabilota,cysJI,1
Acidobacteriota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Planctomycetota,cysJI,1
Krumholzibacteriota,cysJI,1
Planctomycetota,cysJI,1
SAR324,cysJI,1
Acidobacteriota,cysJI,1
Proteobacteria,cysJI,1
Myxococcota,cysJI,1
Desulfobacterota_D,cysJI,1
Proteobacteria,cysJI,1
Nitrospirota,cysJI,1
Nitrospinota,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Myxococcota_A,cysJI,1
Bacteroidota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Planctomycetota,cysJI,1
Acidobacteriota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Planctomycetota,cysJI,1
SAR324,cysJI,1
Planctomycetota,cysJI,1
Myxococcota_A,cysJI,1
Acidobacteriota,cysJI,1
SAR324,cysJI,1
Chloroflexota,cysJI,1
Myxococcota_A,cysJI,1
Actinobacteriota,cysJI,1
Proteobacteria,cysJI,1
Myxococcota_A,cysJI,1
Proteobacteria,cysJI,1
Poribacteria,cysJI,1
Proteobacteria,cysJI,1
Gemmatimonadota,cysJI,1
Proteobacteria,cysJI,1
Actinobacteriota,cysJI,1
Tectomicrobia,cysJI,1
Tectomicrobia,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Chloroflexota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
Chloroflexota,cysJI,1
Planctomycetota,cysJI,1
Proteobacteria,cysJI,1
Proteobacteria,cysJI,1
SAR324,cysJI,1
Gemmatimonadota,cysJI,1
Myxococcota,nosZ,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Chloroflexota,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Thermoproteota,nirA,1
SAR324,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
SAR324,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
SAR324,nirA,1
Thermoproteota,nirA,1
Chloroflexota,nirA,1
Acidobacteriota,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Acidobacteriota,nirA,1
Acidobacteriota,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Nitrospirota,nirA,1
Proteobacteria,nirA,1
Thermoproteota,nirA,1
Planctomycetota,nirA,1
Proteobacteria,nirA,1
Desulfobacterota_B,nirA,1
Desulfobacterota_B,nirA,1
Proteobacteria,nirA,1
Bacteroidota,nirA,1
SAR324,nirA,1
SAR324,nirA,1
Nitrospirota,nirA,1
Desulfobacterota_D,nirA,1
Methylomirabilota,nirA,1
Proteobacteria,nirA,1
Acidobacteriota,nirA,1
Nitrospirota,nirA,1
Nitrospinota,nirA,1
Proteobacteria,nirA,1
Acidobacteriota,nirA,1
Planctomycetota,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Proteobacteria,nirA,1
Desulfobacterota_B,nirA,1
Planctomycetota,nirA,1
SAR324,nirA,1
Chloroflexota,nirA,1
Myxococcota_A,nirA,1
Acidobacteriota,nirA,1
SAR324,nirA,1
